,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
0,a13854,redacted,redacted,redacted,t38788,Bücher,Bis(s),10,2021-10-20,2021-12-10,12136.0,,"Drama,  Liebesgeschichte",P18,9.0,15.0,,redacted
1,a14783,redacted,redacted,redacted,t35593,Bücher,Bis(s),10,2021-06-24,2021-12-13,21769.0,,"Familie,  Liebesgeschichte",P16,2.0,0.0,,redacted
2,a4934,redacted,redacted,redacted,t19878,Bücher,Bis(s),4,2021-12-05,2021-12-15,3501.0,,"Familie,  Schmerz/ Trost",P18,2.0,1.0,,redacted
3,a5206,redacted,redacted,redacted,t20628,Bücher,Bis(s),4,2020-04-10,2021-12-17,3018.0,,Liebesgeschichte,P12,2.0,5.0,,redacted
4,a9718,redacted,redacted,redacted,t24595,Bücher,Bis(s),9,2021-10-22,2021-12-17,19151.0,,Liebesgeschichte,P16,14.0,5.0,,redacted
5,a2381,redacted,redacted,redacted,t11742,Bücher,Bis(s),36,2021-08-17,2021-12-18,171337.0,,Liebesgeschichte,P16,2.0,4.0,,redacted
6,a2889,redacted,redacted,redacted,t28921,Bücher,Bis(s),15,2021-02-02,2021-12-19,30339.0,,"Familie,  Fantasy",P18,4.0,14.0,,redacted
7,a13040,redacted,redacted,redacted,t16744,Bücher,Bis(s),24,2021-12-01,2021-12-24,2686.0,,Liebesgeschichte,P16,10.0,104.0,,redacted
8,a16373,redacted,redacted,redacted,t29350,Bücher,Bis(s),24,2021-12-01,2021-12-24,49893.0,,"Familie,  Schmerz/ Trost",P16,11.0,106.0,,redacted
9,a9595,redacted,redacted,redacted,t3537,Bücher,Bis(s),10,2021-03-15,2021-12-28,2273.0,,"Freundschaft,  Liebesgeschichte",P12,3.0,6.0,,redacted
10,a8945,redacted,redacted,redacted,t28717,Bücher,Bis(s),9,2021-03-10,2021-12-29,8525.0,,"Drama,  Liebesgeschichte",P16,2.0,2.0,,redacted
11,a310,redacted,redacted,redacted,t29710,Bücher,Bis(s),6,2021-08-29,2021-12-29,6581.0,,"Abenteuer,  Fantasy",P18,2.0,2.0,,redacted
12,a13854,redacted,redacted,redacted,t16173,Bücher,Bis(s),5,2021-11-24,2021-12-30,6707.0,,Allgemein,P18,4.0,1.0,,redacted
13,a13511,redacted,redacted,redacted,t13631,Bücher,Bis(s),5,2021-03-04,2021-12-30,11728.0,,"Abenteuer,  Freundschaft",P16,6.0,3.0,,redacted
14,a10459,redacted,redacted,redacted,t9924,Bücher,Bis(s),11,2020-02-20,2021-12-31,37467.0,,Allgemein,P16,9.0,12.0,,redacted
15,a7734,redacted,redacted,redacted,t10402,Bücher,Bis(s),84,2020-09-06,2021-12-31,242607.0,,"Drama,  Liebesgeschichte",P18,8.0,190.0,,redacted
