,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
0,a12321,redacted,redacted,redacted,t15237,Bücher,Die drei ???,24.0,2020-03-07,2021-12-10,44454.0,,"Drama,  Schmerz/ Trost",P18,13.0,56.0,,redacted
1,a1063,redacted,redacted,redacted,t31896,Bücher,Die drei ???,1.0,2021-12-10,2021-12-10,2635.0,,"Romance,  Freundschaft",P12,8.0,9.0,,redacted
2,a769,redacted,redacted,redacted,t37624,Bücher,Die drei ???,1.0,2021-12-11,2021-12-11,4003.0,,Romance,P16,9.0,6.0,,redacted
3,a7124,redacted,redacted,redacted,t21131,Bücher,Die drei ???,1.0,2021-12-12,2021-12-12,2669.0,,Humor,P12,13.0,10.0,,redacted
4,a3135,redacted,redacted,redacted,t16761,Bücher,Die drei ???,4.0,2021-06-25,2021-12-15,22299.0,,"Drama,  Liebesgeschichte",P18,8.0,2.0,,redacted
5,a7217,redacted,redacted,redacted,t13587,Bücher,Die drei ???,6.0,2021-11-15,2021-12-16,10429.0,,"Romance,  Freundschaft",P16,4.0,6.0,,redacted
6,a12374,redacted,redacted,redacted,t28124,Bücher,Die drei ???,10.0,2021-07-25,2021-12-19,25454.0,,"Krimi,  Liebesgeschichte",P16,12.0,25.0,,redacted
7,a14863,redacted,redacted,redacted,t19563,Bücher,Die drei ???,36.0,2020-02-05,2021-12-19,158314.0,,"Drama,  Liebesgeschichte",P16,32.0,214.0,,redacted
8,a4342,redacted,redacted,redacted,t27646,Bücher,Die drei ???,11.0,2021-12-01,2021-12-23,15154.0,,"Krimi,  Mystery",P12,6.0,1.0,,redacted
9,a14995,redacted,redacted,redacted,t2847,Bücher,Die drei ???,27.0,2021-12-01,2021-12-24,6747.0,,"Humor,  Freundschaft",P12,5.0,2.0,,redacted
10,a12374,redacted,redacted,redacted,t16921,Bücher,Die drei ???,2.0,2020-12-29,2021-12-27,8843.0,,"Liebesgeschichte,  Erotik",P18,9.0,3.0,,redacted
11,a4084,redacted,redacted,redacted,t37766,Bücher,Die drei ???,26.0,2021-07-13,2021-12-29,56351.0,,"Krimi,  Romance",P18-AVL,7.0,7.0,,redacted
12,a7124,redacted,redacted,redacted,t21511,Bücher,Die drei ???,67.0,2020-05-27,2021-11-24,55626.0,,Allgemein,P16,38.0,94.0,,redacted
13,a1443,redacted,redacted,redacted,t34147,Bücher,Die drei ???,8.0,2021-09-23,2021-11-25,24239.0,,Liebesgeschichte,P18,16.0,18.0,,redacted
14,a10212,redacted,redacted,redacted,t29590,Bücher,Die drei ???,18.0,2020-12-26,2021-11-28,9288.0,,Allgemein,P12,7.0,7.0,,redacted
15,a14928,redacted,redacted,redacted,t25670,Bücher,Die drei ???,55.0,2020-01-22,2021-11-28,59628.0,,"Krimi,  Liebesgeschichte",P16,48.0,87.0,,redacted
16,a11850,redacted,redacted,redacted,t21908,Bücher,Die drei ???,7.0,2021-08-06,2021-12-04,12668.0,,Allgemein,P16,2.0,1.0,,redacted
17,a4552,redacted,redacted,redacted,t8491,Bücher,Die drei ???,22.0,2021-09-14,2021-12-06,2373.0,,"Freundschaft,  Liebesgeschichte",P18,13.0,9.0,,redacted
18,a4552,redacted,redacted,redacted,t21323,Bücher,Die drei ???,10.0,2021-10-06,2021-12-07,12798.0,,"Drama,  Freundschaft",P18,8.0,8.0,,redacted
19,a4730,redacted,redacted,redacted,t28451,Bücher,Die drei ???,9.0,2021-10-25,2021-12-09,14527.0,,"Krimi,  Romance",P18,4.0,12.0,,redacted
20,a4552,redacted,redacted,redacted,t22044,Bücher,Die drei ???,6.0,2021-11-06,2021-12-10,10638.0,,Drama,P16,7.0,5.0,,redacted
21,a9131,redacted,redacted,redacted,t31378,Bücher,Die drei ???,11.0,2021-09-28,2021-12-11,23756.0,,Liebesgeschichte,P16,1.0,10.0,,redacted
22,a4552,redacted,redacted,redacted,t29803,Bücher,Die drei ???,20.0,2021-09-23,2021-12-12,21964.0,,"Freundschaft,  Liebesgeschichte",P18,12.0,33.0,,redacted
23,a4552,redacted,redacted,redacted,t22476,Bücher,Die drei ???,22.0,2021-10-01,2021-12-12,3151.0,,"Drama,  Liebesgeschichte",P18-AVL,9.0,15.0,,redacted
24,a8945,redacted,redacted,redacted,t29534,Bücher,Die drei ???,35.0,2021-09-30,2021-12-13,4024.0,,Allgemein,P16,3.0,15.0,,redacted
25,a3076,redacted,redacted,redacted,t22667,Bücher,Die drei ???,5.0,2021-07-11,2021-10-16,9597.0,,"Drama,  Romance",P16,5.0,9.0,,redacted
26,a11850,redacted,redacted,redacted,t776,Bücher,Die drei ???,19.0,2021-05-28,2021-10-17,3429.0,,Allgemein,P16,7.0,24.0,,redacted
27,a14628,redacted,redacted,redacted,t21681,Bücher,Die drei ???,2.0,2021-05-04,2021-10-19,4146.0,,Romance,P18,6.0,6.0,,redacted
28,a13861,redacted,redacted,redacted,t18825,Bücher,Die drei ???,22.0,2021-05-11,2021-10-29,7791.0,,Liste Allgemein,P12,3.0,19.0,,redacted
29,a7124,redacted,redacted,redacted,t36002,Bücher,Die drei ???,31.0,2021-10-01,2021-10-31,10255.0,,Allgemein,P18,10.0,36.0,,redacted
30,a4552,redacted,redacted,redacted,t19869,Bücher,Die drei ???,37.0,2021-05-04,2021-09-11,52639.0,,"Freundschaft,  Liebesgeschichte",P18,11.0,28.0,,redacted
31,a7124,redacted,redacted,redacted,t37115,Bücher,Die drei ???,1.0,2021-09-11,2021-09-11,6448.0,,"Humor,  Erotik",P18,13.0,3.0,,redacted
32,a3918,redacted,redacted,redacted,t10427,Bücher,Die drei ???,8.0,2021-08-12,2021-09-17,18367.0,,Romance,P12,8.0,3.0,,redacted
33,a14833,redacted,redacted,redacted,t19292,Bücher,Die drei ???,13.0,2021-01-11,2021-09-24,18637.0,,"Freundschaft,  Liebesgeschichte",P18,13.0,20.0,,redacted
34,a4552,redacted,redacted,redacted,t4164,Bücher,Die drei ???,51.0,2021-05-03,2021-09-27,83304.0,,"Drama,  Liebesgeschichte",P18-AVL,10.0,39.0,,redacted
35,a4552,redacted,redacted,redacted,t28418,Bücher,Die drei ???,20.0,2021-07-25,2021-09-28,22897.0,,"Krimi,  Liebesgeschichte",P18,11.0,8.0,,redacted
36,a2356,redacted,redacted,redacted,t31042,Bücher,Die drei ???,9.0,2020-12-14,2021-10-20,25233.0,,Allgemein,P16,6.0,4.0,,redacted
37,a4552,redacted,redacted,redacted,t27914,Bücher,Die drei ???,89.0,2020-04-21,2021-08-25,177874.0,,"Freundschaft,  Liebesgeschichte",P18,11.0,86.0,,redacted
38,a7124,redacted,redacted,redacted,t13615,Bücher,Die drei ???,31.0,2021-08-01,2021-08-31,3708.0,,Allgemein,P16,7.0,65.0,,redacted
39,a11850,redacted,redacted,redacted,t25172,Bücher,Die drei ???,35.0,2021-04-22,2021-07-15,68399.0,,Allgemein,P16,7.0,3.0,,redacted
40,a9821,redacted,redacted,redacted,t1634,Bücher,Die drei ???,17.0,2020-06-14,2021-07-16,13083.0,,"Drama,  Familie",P12,6.0,35.0,,redacted
41,a1443,redacted,redacted,redacted,t2177,Bücher,Die drei ???,21.0,2020-03-30,2021-07-20,99984.0,,"Drama,  Liebesgeschichte",P18,6.0,36.0,,redacted
42,a4552,redacted,redacted,redacted,t4669,Bücher,Die drei ???,6.0,2021-07-04,2021-07-21,9213.0,,Allgemein,P18-AVL,7.0,4.0,,redacted
43,a14682,redacted,redacted,redacted,t23649,Bücher,Die drei ???,16.0,2021-05-27,2021-06-26,33469.0,,"Humor,  Krimi",P12,2.0,6.0,,redacted
44,a4342,redacted,redacted,redacted,t30972,Bücher,Die drei ???,10.0,2021-01-02,2021-06-29,1319.0,,"Krimi,  Mystery",P12,7.0,7.0,,redacted
45,a12374,redacted,redacted,redacted,t1848,Bücher,Die drei ???,20.0,2020-04-10,2021-05-10,58273.0,,"Krimi,  Liebesgeschichte",P12,22.0,58.0,,redacted
46,a1443,redacted,redacted,redacted,t11540,Bücher,Die drei ???,4.0,2020-08-23,2021-05-18,27313.0,,"Angst,  Liebesgeschichte",P18,5.0,6.0,,redacted
47,a2273,redacted,redacted,redacted,t13270,Bücher,Die drei ???,7.0,2021-03-05,2021-05-20,6765.0,,"Abenteuer,  Liebesgeschichte",P12,2.0,4.0,,redacted
48,a11850,redacted,redacted,redacted,t9252,Bücher,Die drei ???,14.0,2021-04-23,2021-05-21,27656.0,,Allgemein,P16,3.0,1.0,,redacted
49,a4552,redacted,redacted,redacted,t22019,Bücher,Die drei ???,17.0,2021-03-07,2021-05-22,35558.0,,Freundschaft,P18,10.0,14.0,,redacted
50,a14682,redacted,redacted,redacted,t28611,Bücher,Die drei ???,9.0,2021-05-07,2021-05-25,18617.0,,"Krimi,  Freundschaft",P12,4.0,8.0,,redacted
51,a7124,redacted,redacted,redacted,t29256,Bücher,Die drei ???,3.0,2021-03-31,2021-05-27,19437.0,,"Humor,  Erotik",P18,15.0,10.0,,redacted
52,a7124,redacted,redacted,redacted,t16914,Bücher,Die drei ???,1.0,2021-04-12,2021-04-12,3843.0,,Romance,P16,5.0,5.0,,redacted
53,a118,redacted,redacted,redacted,t6798,Bücher,Die drei ???,9.0,2021-03-28,2021-04-13,16547.0,,"Drama,  Krimi",P18,8.0,3.0,,redacted
54,a13330,redacted,redacted,redacted,t6502,Bücher,Die drei ???,7.0,2021-01-03,2021-04-19,3293.0,,"Krimi,  Mystery",P12,0.0,6.0,,redacted
55,a12729,redacted,redacted,redacted,t30378,Bücher,Die drei ???,8.0,2021-04-05,2021-04-23,11003.0,,Mystery,P16,2.0,3.0,,redacted
56,a4552,redacted,redacted,redacted,t12965,Bücher,Die drei ???,101.0,2021-01-18,2021-04-27,162725.0,,Liebesgeschichte,P18-AVL,15.0,73.0,,redacted
57,a1443,redacted,redacted,redacted,t2750,Bücher,Die drei ???,4.0,2021-02-16,2021-05-12,17888.0,,"Angst,  Familie",P18,4.0,8.0,,redacted
58,a1044,redacted,redacted,redacted,t28196,Bücher,Die drei ???,13.0,2021-03-01,2021-03-10,27184.0,,"Krimi,  Mystery",P12,4.0,1.0,,redacted
59,a13282,redacted,redacted,redacted,t8355,Bücher,Die drei ???,6.0,2021-01-22,2021-03-10,4867.0,,Allgemein,P12,7.0,11.0,,redacted
