,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
0,a14181,redacted,redacted,redacted,t2924,Bücher,Rick Riordan / Percy Jackson,17.0,2021-04-05,2021-12-11,22338.0,,Allgemein,P12,6.0,34.0,,redacted
1,a4154,redacted,redacted,redacted,t18522,Bücher,Rick Riordan / Percy Jackson,3.0,2021-12-13,2021-12-13,1512.0,,Abenteuer,P12,0.0,1.0,,redacted
2,a8696,redacted,redacted,redacted,t23167,Bücher,Rick Riordan / Percy Jackson,23.0,2020-01-11,2021-12-16,46588.0,,"Drama,  Liebesgeschichte",P16,12.0,19.0,,redacted
3,a542,redacted,redacted,redacted,t11295,Bücher,Rick Riordan / Percy Jackson,14.0,2021-09-19,2021-12-19,4943.0,,"Abenteuer,  Freundschaft",P16,2.0,19.0,,redacted
4,a16038,redacted,redacted,redacted,t34837,Bücher,Rick Riordan / Percy Jackson,7.0,2021-09-08,2021-12-21,25472.0,,"Schmerz/ Trost,  Liebesgeschichte",P12,6.0,8.0,,redacted
5,a13330,redacted,redacted,redacted,t6357,Bücher,Rick Riordan / Percy Jackson,26.0,2020-12-29,2021-12-23,30454.0,,"Fantasy,  Freundschaft",P12,12.0,106.0,,redacted
6,a5522,redacted,redacted,redacted,t4658,Bücher,Rick Riordan / Percy Jackson,10.0,2021-11-28,2021-12-26,29214.0,,Romance,P12,4.0,13.0,,redacted
7,a4154,redacted,redacted,redacted,t24361,Bücher,Rick Riordan / Percy Jackson,4.0,2021-12-13,2021-12-26,161.0,,Abenteuer,P12,3.0,1.0,,redacted
8,a15374,redacted,redacted,redacted,t32541,Bücher,Rick Riordan / Percy Jackson,5.0,2021-11-28,2021-12-27,9522.0,,Liebesgeschichte,P12,2.0,7.0,,redacted
9,a7957,redacted,redacted,redacted,t36330,Bücher,Rick Riordan / Percy Jackson,4.0,2021-09-26,2021-12-28,9746.0,,"Abenteuer,  Liebesgeschichte",P12,2.0,3.0,,redacted
10,a1537,redacted,redacted,redacted,t12254,Bücher,Rick Riordan / Percy Jackson,7.0,2021-12-10,2021-12-31,16136.0,,Allgemein,P12,2.0,2.0,,redacted
11,a7182,redacted,redacted,redacted,t19966,Bücher,Rick Riordan / Percy Jackson,15.0,2021-03-25,2021-11-11,87776.0,,"Romance,  Freundschaft",P16,11.0,56.0,,redacted
12,a2513,redacted,redacted,redacted,t8054,Bücher,Rick Riordan / Percy Jackson,6.0,2021-05-08,2021-11-14,17453.0,,"Abenteuer,  Freundschaft",P12,5.0,3.0,,redacted
13,a6647,redacted,redacted,redacted,t13090,Bücher,Rick Riordan / Percy Jackson,21.0,2020-01-01,2021-11-14,3914.0,,Allgemein,P12,11.0,7.0,,redacted
14,a13075,redacted,redacted,redacted,t12365,Bücher,Rick Riordan / Percy Jackson,5.0,2021-05-22,2021-11-16,51.0,,"Fantasy,  Freundschaft",P12,9.0,7.0,,redacted
15,a4149,redacted,redacted,redacted,t36970,Bücher,Rick Riordan / Percy Jackson,10.0,2021-03-06,2021-11-16,32368.0,,Allgemein,P6,12.0,22.0,,redacted
16,a15166,redacted,redacted,redacted,t8772,Bücher,Rick Riordan / Percy Jackson,10.0,2021-01-20,2021-11-24,9815.0,,"Drama,  Liebesgeschichte",P12,3.0,15.0,,redacted
17,a3463,redacted,redacted,redacted,t13286,Bücher,Rick Riordan / Percy Jackson,9.0,2021-03-08,2021-11-25,23831.0,,Allgemein,P18,6.0,7.0,,redacted
18,a3463,redacted,redacted,redacted,t7355,Bücher,Rick Riordan / Percy Jackson,6.0,2021-06-06,2021-11-25,1096.0,,Allgemein,P16,1.0,1.0,,redacted
19,a5522,redacted,redacted,redacted,t24573,Bücher,Rick Riordan / Percy Jackson,23.0,2021-04-04,2021-11-28,64153.0,,"Romance,  Liebesgeschichte",P12,11.0,71.0,,redacted
20,a7883,redacted,redacted,redacted,t32836,Bücher,Rick Riordan / Percy Jackson,7.0,2021-01-13,2021-11-30,2523.0,,Allgemein,P16,4.0,6.0,,redacted
21,a4149,redacted,redacted,redacted,t37785,Bücher,Rick Riordan / Percy Jackson,11.0,2020-08-17,2021-12-01,3643.0,,Allgemein,P6,0.0,5.0,,redacted
22,a6845,redacted,redacted,redacted,t35191,Bücher,Rick Riordan / Percy Jackson,62.0,2020-05-26,2021-12-12,302034.0,,"Abenteuer,  Humor",P12,9.0,9.0,,redacted
23,a2783,redacted,redacted,redacted,t17245,Bücher,Rick Riordan / Percy Jackson,5.0,2021-08-05,2021-10-19,4121.0,,Allgemein,P12,1.0,3.0,,redacted
24,a5810,redacted,redacted,redacted,t37361,Bücher,Rick Riordan / Percy Jackson,13.0,2021-06-23,2021-10-22,5168.0,,"Schmerz/ Trost,  Liebesgeschichte",P12,2.0,11.0,,redacted
25,a3747,redacted,redacted,redacted,t38396,Bücher,Rick Riordan / Percy Jackson,24.0,2020-07-12,2021-10-25,28287.0,,Allgemein,P12,7.0,16.0,,redacted
26,a7447,redacted,redacted,redacted,t36719,Bücher,Rick Riordan / Percy Jackson,4.0,2021-09-14,2021-10-27,2751.0,,Allgemein,P12,0.0,2.0,,redacted
27,a5522,redacted,redacted,redacted,t18118,Bücher,Rick Riordan / Percy Jackson,2.0,2021-10-16,2021-10-28,15135.0,,"Fantasy,  Liebesgeschichte",P12,5.0,3.0,,redacted
28,a4817,redacted,redacted,redacted,t6530,Bücher,Rick Riordan / Percy Jackson,4.0,2021-07-21,2021-11-10,138.0,,Allgemein,P12,0.0,1.0,,redacted
29,a13140,redacted,redacted,redacted,t38269,Bücher,Rick Riordan / Percy Jackson,2.0,2021-07-31,2021-09-10,2095.0,,Allgemein,P12,0.0,1.0,,redacted
30,a3314,redacted,redacted,redacted,t32512,Bücher,Rick Riordan / Percy Jackson,9.0,2020-10-25,2021-09-14,10496.0,,Allgemein,P12,3.0,12.0,,redacted
31,a6660,redacted,redacted,redacted,t27382,Bücher,Rick Riordan / Percy Jackson,2.0,2021-09-12,2021-09-19,3219.0,,Liebesgeschichte,P16,4.0,4.0,,redacted
32,a14181,redacted,redacted,redacted,t15619,Bücher,Rick Riordan / Percy Jackson,6.0,2021-05-27,2021-09-25,4266.0,,Allgemein,P12,0.0,13.0,,redacted
33,a6845,redacted,redacted,redacted,t8597,Bücher,Rick Riordan / Percy Jackson,6.0,2021-05-10,2021-08-15,11969.0,,"Abenteuer,  Freundschaft",P12,0.0,1.0,,redacted
34,a7167,redacted,redacted,redacted,t17143,Bücher,Rick Riordan / Percy Jackson,5.0,2021-04-14,2021-08-17,25098.0,,"Drama,  Freundschaft",P16,4.0,7.0,,redacted
35,a3747,redacted,redacted,redacted,t10401,Bücher,Rick Riordan / Percy Jackson,9.0,2021-01-20,2021-08-17,17382.0,,Abenteuer,P12,13.0,4.0,,redacted
36,a12094,redacted,redacted,redacted,t33482,Bücher,Rick Riordan / Percy Jackson,8.0,2021-05-14,2021-08-26,7769.0,,"Abenteuer,  Familie",P16,1.0,4.0,,redacted
37,a14206,redacted,redacted,redacted,t5114,Bücher,Rick Riordan / Percy Jackson,29.0,2020-08-22,2021-08-30,83536.0,,"Abenteuer,  Freundschaft",P16,17.0,104.0,,redacted
38,a6840,redacted,redacted,redacted,t13806,Bücher,Rick Riordan / Percy Jackson,16.0,2020-10-11,2021-07-11,71501.0,,"Abenteuer,  Fantasy",P16,3.0,6.0,,redacted
39,a13829,redacted,redacted,redacted,t33697,Bücher,Rick Riordan / Percy Jackson,5.0,2021-05-23,2021-07-12,1907.0,,Allgemein,P12,0.0,4.0,,redacted
40,a2370,redacted,redacted,redacted,t4033,Bücher,Rick Riordan / Percy Jackson,6.0,2021-06-26,2021-07-12,9513.0,,"Fantasy,  Liebesgeschichte",P12,2.0,13.0,,redacted
41,a693,redacted,redacted,redacted,t23518,Bücher,Rick Riordan / Percy Jackson,43.0,2020-12-15,2021-07-27,77493.0,,"Abenteuer,  Freundschaft",P16,4.0,24.0,,redacted
42,a5522,redacted,redacted,redacted,t30481,Bücher,Rick Riordan / Percy Jackson,14.0,2021-02-10,2021-07-31,67939.0,,"Romance,  Freundschaft",P12,11.0,46.0,,redacted
43,a5810,redacted,redacted,redacted,t12025,Bücher,Rick Riordan / Percy Jackson,17.0,2021-05-18,2021-06-20,4497.0,,Allgemein,P12,3.0,34.0,,redacted
44,a12237,redacted,redacted,redacted,t4429,Bücher,Rick Riordan / Percy Jackson,4.0,2021-05-31,2021-06-20,3476.0,,"Abenteuer,  Freundschaft",P12,0.0,1.0,,redacted
45,a16395,redacted,redacted,redacted,t11251,Bücher,Rick Riordan / Percy Jackson,4.0,2021-05-28,2021-06-23,1903.0,,Allgemein,P12,0.0,2.0,,redacted
46,a5522,redacted,redacted,redacted,t14466,Bücher,Rick Riordan / Percy Jackson,29.0,2020-12-09,2021-06-30,85802.0,,"Abenteuer,  Liebesgeschichte",P16,15.0,93.0,,redacted
47,a14570,redacted,redacted,redacted,t25761,Bücher,Rick Riordan / Percy Jackson,3.0,2021-06-11,2021-07-11,11041.0,,"Fantasy,  Freundschaft",P16,4.0,2.0,,redacted
48,a16123,redacted,redacted,redacted,t31944,Bücher,Rick Riordan / Percy Jackson,1.0,2021-05-11,2021-05-11,502.0,,Humor,P6,3.0,6.0,,redacted
49,a8381,redacted,redacted,redacted,t21169,Bücher,Rick Riordan / Percy Jackson,5.0,2021-04-30,2021-05-13,5322.0,,"Familie,  Schmerz/ Trost",P16,1.0,6.0,,redacted
50,a1541,redacted,redacted,redacted,t26890,Bücher,Rick Riordan / Percy Jackson,17.0,2020-05-09,2021-05-15,1778.0,,Allgemein,P12,16.0,44.0,,redacted
51,a542,redacted,redacted,redacted,t28866,Bücher,Rick Riordan / Percy Jackson,5.0,2021-03-29,2021-05-19,8115.0,,"Schmerz/ Trost,  Liebesgeschichte",P18,2.0,10.0,,redacted
52,a14081,redacted,redacted,redacted,t16228,Bücher,Rick Riordan / Percy Jackson,6.0,2020-09-05,2021-05-22,760.0,,Liebesgeschichte,P6,5.0,4.0,,redacted
53,a528,redacted,redacted,redacted,t16184,Bücher,Rick Riordan / Percy Jackson,2.0,2021-05-12,2021-05-24,649.0,,Freundschaft,P12,0.0,2.0,,redacted
54,a2689,redacted,redacted,redacted,t5874,Bücher,Rick Riordan / Percy Jackson,6.0,2021-03-25,2021-05-28,17129.0,,"Romance,  Thriller",P18,8.0,8.0,,redacted
55,a542,redacted,redacted,redacted,t29663,Bücher,Rick Riordan / Percy Jackson,31.0,2020-06-20,2021-05-30,79596.0,,"Abenteuer,  Freundschaft",P16,6.0,13.0,,redacted
56,a2445,redacted,redacted,redacted,t4533,Bücher,Rick Riordan / Percy Jackson,5.0,2021-04-10,2021-05-31,12121.0,,"Abenteuer,  Liebesgeschichte",P12,4.0,6.0,,redacted
57,a9720,redacted,redacted,redacted,t8281,Bücher,Rick Riordan / Percy Jackson,7.0,2020-06-03,2021-06-11,9272.0,,Fantasy,P6,1.0,5.0,,redacted
58,a542,redacted,redacted,redacted,t37075,Bücher,Rick Riordan / Percy Jackson,22.0,2021-03-05,2021-04-10,10787.0,,Historisch,P6,1.0,1.0,,redacted
59,a10301,redacted,redacted,redacted,t38364,Bücher,Rick Riordan / Percy Jackson,6.0,2021-03-16,2021-04-11,16396.0,,"Abenteuer,  Liebesgeschichte",P16,5.0,7.0,,redacted
60,a3807,redacted,redacted,redacted,t4792,Bücher,Rick Riordan / Percy Jackson,9.0,2020-07-07,2021-04-12,3645.0,,"Abenteuer,  Fantasy",P12,0.0,6.0,,redacted
61,a1541,redacted,redacted,redacted,t5779,Bücher,Rick Riordan / Percy Jackson,7.0,2020-06-04,2021-04-21,24995.0,,Allgemein,P12,18.0,37.0,,redacted
62,a466,redacted,redacted,redacted,t24085,Bücher,Rick Riordan / Percy Jackson,6.0,2020-08-12,2021-04-24,756.0,,"Schmerz/ Trost,  Liebesgeschichte",P16,6.0,4.0,,redacted
63,a8381,redacted,redacted,redacted,t11071,Bücher,Rick Riordan / Percy Jackson,4.0,2021-03-20,2021-04-27,6142.0,,"Familie,  Schmerz/ Trost",P16,3.0,8.0,,redacted
