,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
0,a4934,redacted,redacted,redacted,t15254,Bücher,J.R.R. Tolkien / Mittelerde,1.0,2021-08-08,2021-08-08,286.0,,"Drama,  Schmerz/ Trost",P12,1.0,0.0,,redacted
1,a12746,redacted,redacted,redacted,t4875,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,23.0,2020-10-25,2021-12-11,62279.0,,"Humor,  Romance",P18,17.0,107.0,,redacted
2,a4531,redacted,redacted,redacted,t35990,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,38.0,2020-04-24,2021-12-11,153007.0,,"Freundschaft,  Liebesgeschichte",P16,16.0,87.0,,redacted
3,a14933,redacted,redacted,redacted,t12786,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,29.0,2020-03-01,2021-12-12,68025.0,,"Schmerz/ Trost,  Liebesgeschichte",P18,54.0,186.0,,redacted
4,a10826,redacted,redacted,redacted,t21373,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,11.0,2021-04-14,2021-12-14,28403.0,,"Familie,  Liebesgeschichte",P12,14.0,21.0,,redacted
5,a14940,redacted,redacted,redacted,t18816,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,15.0,2021-07-13,2021-12-16,9194.0,,"Fantasy,  Liebesgeschichte",P12,0.0,0.0,,redacted
6,a8200,redacted,redacted,redacted,t7418,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,21.0,2021-09-28,2021-12-17,49803.0,,"Abenteuer,  Liebesgeschichte",P16,4.0,4.0,,redacted
7,a2413,redacted,redacted,redacted,t22323,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,26.0,2021-02-02,2021-12-23,3882.0,,"Abenteuer,  Fantasy",P12,4.0,4.0,,redacted
8,a3746,redacted,redacted,redacted,t6993,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,2.0,2021-11-10,2021-12-25,3947.0,,Allgemein,P16,1.0,0.0,,redacted
9,a15191,redacted,redacted,redacted,t36901,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,32.0,2021-03-16,2021-12-25,114744.0,,"Abenteuer,  Liebesgeschichte",P18,18.0,67.0,,redacted
10,a6935,redacted,redacted,redacted,t12873,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,4.0,2021-10-15,2021-12-27,12928.0,,"Humor,  Freundschaft",P12,5.0,9.0,,redacted
11,a6935,redacted,redacted,redacted,t30083,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,6.0,2020-08-20,2021-12-27,10958.0,,Abenteuer,P12,6.0,7.0,,redacted
12,a1235,redacted,redacted,redacted,t2083,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,17.0,2021-08-02,2021-12-27,54438.0,,"Romance,  Fantasy",P18,6.0,5.0,,redacted
13,a10832,redacted,redacted,redacted,t3131,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,16.0,2021-06-06,2021-12-31,16145.0,,"Mystery,  Freundschaft",P16,2.0,17.0,,redacted
14,a13175,redacted,redacted,redacted,t21470,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,44.0,2021-04-21,2021-12-31,97683.0,,Allgemein,P12,2.0,33.0,,redacted
15,a1225,redacted,redacted,redacted,t30474,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,56.0,2020-05-06,2021-11-24,87608.0,,"Drama,  Liebesgeschichte",P16,83.0,324.0,,redacted
16,a14050,redacted,redacted,redacted,t34342,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,6.0,2021-01-15,2021-11-25,8886.0,,"Mystery,  Fantasy",P12,2.0,0.0,,redacted
17,a1225,redacted,redacted,redacted,t35621,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,3.0,2021-11-11,2021-11-27,4126.0,,"Drama,  Romance",P16,3.0,3.0,,redacted
18,a12283,redacted,redacted,redacted,t12071,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,54.0,2020-07-08,2021-12-02,181234.0,,"Drama,  Liebesgeschichte",P18,12.0,63.0,,redacted
19,a14940,redacted,redacted,redacted,t34728,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,5.0,2021-10-26,2021-12-03,5184.0,,"Romance,  Fantasy",P12,0.0,0.0,,redacted
20,a15127,redacted,redacted,redacted,t8832,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,9.0,2021-08-19,2021-12-04,10539.0,,"Abenteuer,  Fantasy",P16,2.0,2.0,,redacted
21,a12046,redacted,redacted,redacted,t24880,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,47.0,2020-05-07,2021-12-05,85734.0,,Drama,P16,13.0,38.0,,redacted
22,a16104,redacted,redacted,redacted,t31621,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,69.0,2021-02-23,2021-12-07,25482.0,,"Abenteuer,  Romance",P18,14.0,168.0,,redacted
23,a2551,redacted,redacted,redacted,t28095,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,13.0,2021-09-17,2021-12-08,64669.0,,"Abenteuer,  Fantasy",P16,6.0,27.0,,redacted
24,a2917,redacted,redacted,redacted,t1891,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,56.0,2021-03-17,2021-12-10,189186.0,,"Abenteuer,  Familie",P18,5.0,45.0,,redacted
25,a9267,redacted,redacted,redacted,t20821,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,50.0,2021-01-01,2021-12-10,123388.0,,"Abenteuer,  Liebesgeschichte",P18,11.0,82.0,,redacted
26,a14884,redacted,redacted,redacted,t21542,Bücher,J.R.R. Tolkien / Mittelerde / Der Hobbit,26.0,2021-04-04,2021-12-11,125763.0,,"Abenteuer,  Romance",P18,22.0,56.0,,redacted
