,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
0,a11158,redacted,redacted,redacted,t36730,Bücher,Die Tribute von Panem / FFs,22,2021-04-06,2021-12-30,6512.0,,"Abenteuer,  Drama",P16,6.0,63.0,,redacted
1,a7599,redacted,redacted,redacted,t25753,Bücher,Die Tribute von Panem / FFs,55,2020-07-10,2021-11-19,151631.0,,"Drama,  Liebesgeschichte",P16,17.0,43.0,,redacted
2,a6369,redacted,redacted,redacted,t37467,Bücher,Die Tribute von Panem / FFs,11,2021-09-19,2021-11-20,14562.0,,Schmerz/ Trost,P16,2.0,15.0,,redacted
3,a12732,redacted,redacted,redacted,t19153,Bücher,Die Tribute von Panem / FFs,14,2021-09-23,2021-11-25,23976.0,,Allgemein,P16,2.0,21.0,,redacted
4,a3098,redacted,redacted,redacted,t3729,Bücher,Die Tribute von Panem / FFs,14,2021-08-29,2021-11-28,19931.0,,"Abenteuer,  Drama",P18,3.0,23.0,,redacted
5,a1819,redacted,redacted,redacted,t32812,Bücher,Die Tribute von Panem / FFs,81,2021-01-11,2021-12-10,216835.0,,"Drama,  Schmerz/ Trost",P18,31.0,389.0,,redacted
6,a13716,redacted,redacted,redacted,t3159,Bücher,Die Tribute von Panem / FFs,12,2021-10-09,2021-12-10,29421.0,,"Drama,  Liebesgeschichte",P12,3.0,16.0,,redacted
7,a13845,redacted,redacted,redacted,t22074,Bücher,Die Tribute von Panem / FFs,7,2021-10-02,2021-12-13,984.0,,Allgemein,P6,1.0,1.0,,redacted
8,a6369,redacted,redacted,redacted,t618,Bücher,Die Tribute von Panem / FFs,1,2021-10-18,2021-10-18,351.0,,Allgemein,P12,3.0,1.0,,redacted
9,a14999,redacted,redacted,redacted,t12503,Bücher,Die Tribute von Panem / FFs,35,2021-02-15,2021-10-23,43186.0,,Allgemein,P16,5.0,37.0,,redacted
10,a14525,redacted,redacted,redacted,t26710,Bücher,Die Tribute von Panem / FFs,5,2021-06-22,2021-11-05,5582.0,,"Abenteuer,  Romance",P16,1.0,2.0,,redacted
11,a8552,redacted,redacted,redacted,t9172,Bücher,Die Tribute von Panem / FFs,3,2021-09-12,2021-09-25,1444.0,,"Angst,  Action",P12,0.0,1.0,,redacted
12,a232,redacted,redacted,redacted,t17458,Bücher,Die Tribute von Panem / FFs,3,2021-06-17,2021-10-18,9108.0,,"Familie,  Schmerz/ Trost",P12,0.0,2.0,,redacted
13,a11987,redacted,redacted,redacted,t6323,Bücher,Die Tribute von Panem / FFs,16,2021-03-03,2021-07-11,1917.0,,"Angst,  Schmerz/ Trost",P12,5.0,21.0,,redacted
14,a7599,redacted,redacted,redacted,t31433,Bücher,Die Tribute von Panem / FFs,1,2021-07-11,2021-07-11,3801.0,,"Drama,  Action",P16,2.0,2.0,,redacted
15,a3012,redacted,redacted,redacted,t36013,Bücher,Die Tribute von Panem / FFs,1,2021-07-11,2021-07-11,1128.0,,"Schmerz/ Trost,  Tragödie",P12,1.0,2.0,,redacted
16,a12177,redacted,redacted,redacted,t14242,Bücher,Die Tribute von Panem / FFs,31,2020-09-20,2021-07-27,105504.0,,"Abenteuer,  Angst",P16,7.0,24.0,,redacted
17,a5296,redacted,redacted,redacted,t751,Bücher,Die Tribute von Panem / FFs,9,2021-05-11,2021-07-30,8664.0,,Allgemein,P12,1.0,9.0,,redacted
18,a4687,redacted,redacted,redacted,t31065,Bücher,Die Tribute von Panem / FFs,14,2020-07-21,2021-08-11,69751.0,,"Romance,  Angst",P18-AVL,0.0,1.0,,redacted
19,a7896,redacted,redacted,redacted,t32756,Bücher,Die Tribute von Panem / FFs,18,2020-05-08,2021-06-14,34667.0,,Schmerz/ Trost,P16,5.0,12.0,,redacted
20,a10493,redacted,redacted,redacted,t31169,Bücher,Die Tribute von Panem / FFs,2,2021-05-17,2021-06-21,1753.0,,Allgemein,P16,1.0,3.0,,redacted
21,a13775,redacted,redacted,redacted,t39101,Bücher,Die Tribute von Panem / FFs,4,2021-06-09,2021-06-21,229.0,,Allgemein,P12,0.0,1.0,,redacted
22,a13885,redacted,redacted,redacted,t27839,Bücher,Die Tribute von Panem / FFs,26,2020-07-10,2021-06-28,47239.0,,"Drama,  Liebesgeschichte",P18,10.0,37.0,,redacted
23,a1334,redacted,redacted,redacted,t16562,Bücher,Die Tribute von Panem / FFs,9,2020-08-18,2021-05-23,4905.0,,Allgemein,P12,3.0,5.0,,redacted
24,a14955,redacted,redacted,redacted,t10695,Bücher,Die Tribute von Panem / FFs,14,2020-07-02,2021-05-25,26869.0,,"Drama,  Liebesgeschichte",P12,3.0,14.0,,redacted
25,a11987,redacted,redacted,redacted,t29699,Bücher,Die Tribute von Panem / FFs,30,2021-02-11,2021-05-27,41484.0,,"Drama,  Schmerz/ Trost",P16,5.0,21.0,,redacted
26,a650,redacted,redacted,redacted,t21862,Bücher,Die Tribute von Panem / FFs,9,2020-03-20,2021-05-30,30134.0,,"Abenteuer,  Drama",P16,2.0,4.0,,redacted
27,a7702,redacted,redacted,redacted,t674,Bücher,Die Tribute von Panem / FFs,4,2021-04-06,2021-04-13,8383.0,,"Abenteuer,  Freundschaft",P12,1.0,7.0,,redacted
28,a2754,redacted,redacted,redacted,t11942,Bücher,Die Tribute von Panem / FFs,6,2021-01-04,2021-05-13,6942.0,,"Romance,  Familie",P12,7.0,11.0,,redacted
29,a13885,redacted,redacted,redacted,t33800,Bücher,Die Tribute von Panem / FFs,1,2021-03-10,2021-03-10,4189.0,,"Romance,  Angst",P16,3.0,3.0,,redacted
30,a4475,redacted,redacted,redacted,t13687,Bücher,Die Tribute von Panem / FFs,1,2021-03-12,2021-03-12,863.0,,Allgemein,P16,0.0,1.0,,redacted
31,a1334,redacted,redacted,redacted,t28305,Bücher,Die Tribute von Panem / FFs,31,2020-05-07,2021-03-13,4498.0,,Allgemein,P12,2.0,20.0,,redacted
32,a10439,redacted,redacted,redacted,t15850,Bücher,Die Tribute von Panem / FFs,14,2020-10-04,2021-03-14,25593.0,,"Abenteuer,  Sci- Fi",P16,2.0,5.0,,redacted
33,a10972,redacted,redacted,redacted,t20200,Bücher,Die Tribute von Panem / FFs,13,2021-01-10,2021-03-18,529.0,,"Romance,  Schmerz/ Trost",P12,2.0,7.0,,redacted
34,a15824,redacted,redacted,redacted,t14900,Bücher,Die Tribute von Panem / FFs,66,2020-08-04,2021-03-31,76241.0,,Liebesgeschichte,P16,3.0,3.0,,redacted
35,a6368,redacted,redacted,redacted,t10288,Bücher,Die Tribute von Panem / FFs,26,2020-07-17,2021-01-08,45814.0,,"Drama,  Tragödie",P16,2.0,7.0,,redacted
36,a13716,redacted,redacted,redacted,t16015,Bücher,Die Tribute von Panem / FFs,1,2021-11-15,2021-11-15,1206.0,,Allgemein,P12,2.0,2.0,,redacted
37,a15414,redacted,redacted,redacted,t10215,Bücher,Die Tribute von Panem / FFs,4,2021-12-05,2021-12-09,9675.0,,"Drama,  Action",P12,0.0,0.0,,redacted
38,a7658,redacted,redacted,redacted,t1333,Bücher,Die Tribute von Panem / FFs,1,2021-10-31,2021-10-31,707.0,,Parodie,P16,7.0,2.0,,redacted
39,a8967,redacted,redacted,redacted,t13009,Bücher,Die Tribute von Panem / FFs,1,2021-11-07,2021-11-07,706.0,,"Abenteuer,  Action",P12,0.0,1.0,,redacted
40,a15243,redacted,redacted,redacted,t32125,Bücher,Die Tribute von Panem / FFs,1,2021-09-24,2021-09-24,870.0,,"Drama,  Angst",P12,3.0,0.0,,redacted
41,a9230,redacted,redacted,redacted,t8850,Bücher,Die Tribute von Panem / FFs,1,2021-09-28,2021-09-28,878.0,,Schmerz/ Trost,P12,1.0,4.0,,redacted
42,a13845,redacted,redacted,redacted,t4543,Bücher,Die Tribute von Panem / FFs,3,2021-09-26,2021-10-08,431.0,,Allgemein,P16,1.0,0.0,,redacted
43,a393,redacted,redacted,redacted,t37860,Bücher,Die Tribute von Panem / FFs,1,2021-10-12,2021-10-12,4142.0,,"Romance,  Schmerz/ Trost",P12,2.0,1.0,,redacted
44,a3520,redacted,redacted,redacted,t31840,Bücher,Die Tribute von Panem / FFs,1,2021-08-17,2021-08-17,220.0,,Allgemein,P12,0.0,1.0,,redacted
45,a3282,redacted,redacted,redacted,t28947,Bücher,Die Tribute von Panem / FFs,1,2021-08-22,2021-08-22,930.0,,"Sci- Fi,  Tragödie",P16,0.0,2.0,,redacted
46,a21,redacted,redacted,redacted,t9092,Bücher,Die Tribute von Panem / FFs,1,2021-08-30,2021-08-30,629.0,,Drama,P12,0.0,1.0,,redacted
47,a7374,redacted,redacted,redacted,t15601,Bücher,Die Tribute von Panem / FFs,2,2021-07-04,2021-08-31,1295.0,,Allgemein,P12,1.0,3.0,,redacted
48,a12992,redacted,redacted,redacted,t25835,Bücher,Die Tribute von Panem / FFs,1,2021-07-17,2021-07-17,1259.0,,"Drama,  Tragödie",P18,6.0,2.0,,redacted
49,a5692,redacted,redacted,redacted,t18963,Bücher,Die Tribute von Panem / FFs,1,2021-06-13,2021-06-13,2064.0,,"Drama,  Tragödie",P12,1.0,2.0,,redacted
50,a15243,redacted,redacted,redacted,t20284,Bücher,Die Tribute von Panem / FFs,1,2021-06-24,2021-06-24,1395.0,,"Angst,  Schmerz/ Trost",P16,4.0,1.0,,redacted
51,a11987,redacted,redacted,redacted,t35681,Bücher,Die Tribute von Panem / FFs,2,2021-06-07,2021-06-28,1536.0,,Allgemein,P12,3.0,8.0,,redacted
52,a15243,redacted,redacted,redacted,t35355,Bücher,Die Tribute von Panem / FFs,1,2021-05-19,2021-05-19,1418.0,,"Drama,  Liebesgeschichte",P16,3.0,1.0,,redacted
53,a1357,redacted,redacted,redacted,t14349,Bücher,Die Tribute von Panem / FFs,1,2021-05-28,2021-05-28,819.0,,Schmerz/ Trost,P12,2.0,0.0,,redacted
54,a13885,redacted,redacted,redacted,t27996,Bücher,Die Tribute von Panem / FFs,1,2021-05-30,2021-05-30,6835.0,,"Humor,  Freundschaft",P12,3.0,2.0,,redacted
55,a9230,redacted,redacted,redacted,t38264,Bücher,Die Tribute von Panem / FFs,1,2021-04-23,2021-04-23,1933.0,,Drama,P12,2.0,1.0,,redacted
56,a9720,redacted,redacted,redacted,t14569,Bücher,Die Tribute von Panem / FFs,2,2021-03-15,2021-03-17,205.0,,Allgemein,P12,0.0,2.0,,redacted
57,a8095,redacted,redacted,redacted,t11959,Bücher,Die Tribute von Panem / FFs,2,2021-03-18,2021-03-29,3861.0,,"Abenteuer,  Schmerz/ Trost",P16,1.0,2.0,,redacted
58,a9606,redacted,redacted,redacted,t8056,Bücher,Die Tribute von Panem / FFs,5,2021-03-04,2021-03-12,11450.0,,Allgemein,P16,0.0,5.0,,redacted
59,a1334,redacted,redacted,redacted,t880,Bücher,Die Tribute von Panem / FFs,1,2021-01-01,2021-01-01,2690.0,,Allgemein,P12,5.0,1.0,,redacted
60,a441,redacted,redacted,redacted,t16341,Bücher,Die Tribute von Panem / FFs,7,2021-01-02,2021-01-05,7380.0,,Allgemein,P12,0.0,1.0,,redacted
61,a13339,redacted,redacted,redacted,t12179,Bücher,Die Tribute von Panem / FFs,2,2021-01-09,2021-01-09,332.0,,"Abenteuer,  Thriller",P12 Slash,0.0,1.0,,redacted
62,a5753,redacted,redacted,redacted,t37800,Bücher,Die Tribute von Panem / FFs,4,2021-01-09,2021-01-11,4396.0,,"Abenteuer,  Freundschaft",P16,0.0,2.0,,redacted
63,a5753,redacted,redacted,redacted,t26636,Bücher,Die Tribute von Panem / FFs,3,2021-01-19,2021-01-19,2402.0,,"Abenteuer,  Action",P16,0.0,1.0,,redacted
64,a8095,redacted,redacted,redacted,t6572,Bücher,Die Tribute von Panem / FFs,4,2021-01-13,2021-01-23,4993.0,,"Schmerz/ Trost,  Tragödie",P16,0.0,2.0,,redacted
65,a2717,redacted,redacted,redacted,t18960,Bücher,Die Tribute von Panem / FFs,5,2021-01-06,2021-01-26,3165.0,,"Sci- Fi,  Action",P12,0.0,2.0,,redacted
66,a11172,redacted,redacted,redacted,t27552,Bücher,Die Tribute von Panem / FFs,1,2021-01-31,2021-01-31,2249.0,,"Freundschaft,  Liebesgeschichte",P18,0.0,1.0,,redacted
67,a8967,redacted,redacted,redacted,t30272,Bücher,Die Tribute von Panem / FFs,3,2021-01-09,2021-02-02,2053.0,,Fantasy,P12,2.0,3.0,,redacted
