,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
0,a3012,redacted,redacted,redacted,t457,Bücher,Harry Potter / Harry Potter - FFs,13,2021-06-03,2021-12-10,55483.0,,"Angst,  Schmerz/ Trost",P16,6.0,23.0,,redacted
1,a13558,redacted,redacted,redacted,t9243,Bücher,Harry Potter / Harry Potter - FFs,1,2021-12-10,2021-12-10,233.0,,"Freundschaft,  Schmerz/ Trost",P12,1.0,2.0,,redacted
2,a13773,redacted,redacted,redacted,t18734,Bücher,Harry Potter / Harry Potter - FFs,69,2020-08-21,2021-12-10,78582.0,,"Abenteuer,  Liebesgeschichte",P16,68.0,120.0,,redacted
3,a14745,redacted,redacted,redacted,t37000,Bücher,Harry Potter / Harry Potter - FFs,8,2020-08-16,2021-12-10,1254.0,,"Familie,  Liebesgeschichte",P18,16.0,40.0,,redacted
4,a3226,redacted,redacted,redacted,t9993,Bücher,Harry Potter / Harry Potter - FFs,32,2021-03-18,2021-12-10,83435.0,,"Drama,  Romance",P18,65.0,78.0,,redacted
5,a3108,redacted,redacted,redacted,t1838,Bücher,Harry Potter / Harry Potter - FFs,1,2021-12-10,2021-12-10,550.0,,Romance,P18,1.0,2.0,,redacted
6,a15804,redacted,redacted,redacted,t20229,Bücher,Harry Potter / Harry Potter - FFs,6,2021-05-28,2021-12-10,75659.0,,"Romance,  Tragödie",P18,13.0,24.0,,redacted
7,a15872,redacted,redacted,redacted,t12913,Bücher,Harry Potter / Harry Potter - FFs,1,2021-12-10,2021-12-10,24.0,,"Familie,  Schmerz/ Trost",P12,1.0,1.0,,redacted
8,a5937,redacted,redacted,redacted,t14650,Bücher,Harry Potter / Harry Potter - FFs,1,2021-12-10,2021-12-10,4525.0,,"Romance,  Familie",P12,2.0,2.0,,redacted
9,a5145,redacted,redacted,redacted,t38141,Bücher,Harry Potter / Harry Potter - FFs,4,2021-11-11,2021-12-11,8038.0,,"Freundschaft,  Liebesgeschichte",P12,3.0,7.0,,redacted
10,a5117,redacted,redacted,redacted,t35819,Bücher,Harry Potter / Harry Potter - FFs,2,2021-11-25,2021-12-11,5552.0,,"Drama,  Liebesgeschichte",P16,5.0,3.0,,redacted
11,a7434,redacted,redacted,redacted,t28935,Bücher,Harry Potter / Harry Potter - FFs,100,2021-09-01,2021-12-11,224372.0,,"Drama,  Liebesgeschichte",P18,14.0,162.0,,redacted
12,a1437,redacted,redacted,redacted,t21398,Bücher,Harry Potter / Harry Potter - FFs,1,2021-12-11,2021-12-11,501.0,,Allgemein,P12,1.0,1.0,,redacted
13,a15444,redacted,redacted,redacted,t23365,Bücher,Harry Potter / Harry Potter - FFs,1,2021-12-11,2021-12-11,1.0,,"Drama,  Angst",P12,2.0,3.0,,redacted
14,a13692,redacted,redacted,redacted,t2872,Bücher,Harry Potter / Harry Potter - FFs,1,2021-12-11,2021-12-11,6492.0,,"Drama,  Liebesgeschichte",P12,1.0,1.0,,redacted
15,a11755,redacted,redacted,redacted,t13410,Bücher,Harry Potter / Harry Potter - FFs,3,2021-10-11,2021-12-12,12231.0,,"Schmerz/ Trost,  Liebesgeschichte",P18,8.0,11.0,,redacted
16,a16104,redacted,redacted,redacted,t37220,Bücher,Harry Potter / Harry Potter - FFs,14,2021-11-04,2021-12-12,30184.0,,"Fantasy,  Schmerz/ Trost",P12,38.0,82.0,,redacted
