,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
0,a3879,redacted,redacted,redacted,t8687,Bücher,Warrior Cats,18.0,2021-05-07,2021-12-10,29219.0,,"Freundschaft,  Schmerz/ Trost",P12,6.0,31.0,,redacted
1,a10111,redacted,redacted,redacted,t30625,Bücher,Warrior Cats,9.0,2021-06-01,2021-12-11,9506.0,,"Schmerz/ Trost,  Liebesgeschichte",P12,7.0,18.0,,redacted
2,a10111,redacted,redacted,redacted,t26569,Bücher,Warrior Cats,2.0,2021-12-11,2021-12-11,191.0,,"Tragödie,  Liebesgeschichte",P12,4.0,2.0,,redacted
3,a3559,redacted,redacted,redacted,t30557,Bücher,Warrior Cats,11.0,2021-05-09,2021-12-14,3188.0,,"Abenteuer,  Schmerz/ Trost",P12,2.0,6.0,,redacted
4,a5080,redacted,redacted,redacted,t3980,Bücher,Warrior Cats,2.0,2021-12-09,2021-12-15,972.0,,"Familie,  Fantasy",P12,4.0,4.0,,redacted
5,a14999,redacted,redacted,redacted,t33469,Bücher,Warrior Cats,5.0,2021-11-13,2021-12-16,4734.0,,Abenteuer,P12,5.0,3.0,,redacted
6,a2299,redacted,redacted,redacted,t2840,Bücher,Warrior Cats,4.0,2021-11-24,2021-12-16,5282.0,,"Mystery,  Fantasy",P12,2.0,3.0,,redacted
7,a7580,redacted,redacted,redacted,t15449,Bücher,Warrior Cats,17.0,2020-04-25,2021-12-20,19055.0,,Liste Allgemein,P12,27.0,42.0,,redacted
8,a10649,redacted,redacted,redacted,t15919,Bücher,Warrior Cats,3.0,2021-10-17,2021-12-21,3987.0,,"Angst,  Horror",P16,7.0,9.0,,redacted
9,a13476,redacted,redacted,redacted,t38962,Bücher,Warrior Cats,24.0,2021-05-11,2021-12-22,26644.0,,Allgemein,P12,9.0,49.0,,redacted
10,a6821,redacted,redacted,redacted,t8304,Bücher,Warrior Cats,22.0,2021-12-01,2021-12-22,16282.0,,Allgemein,P6,7.0,2.0,,redacted
11,a8282,redacted,redacted,redacted,t39426,Bücher,Warrior Cats,4.0,2021-11-20,2021-12-23,2628.0,,"Abenteuer,  Fantasy",P12,2.0,2.0,,redacted
12,a8343,redacted,redacted,redacted,t23300,Bücher,Warrior Cats,24.0,2021-12-01,2021-12-24,3194.0,,Allgemein,P6,6.0,60.0,,redacted
13,a3879,redacted,redacted,redacted,t3616,Bücher,Warrior Cats,9.0,2021-07-08,2021-12-24,24067.0,,Allgemein,P12,7.0,45.0,,redacted
14,a7991,redacted,redacted,redacted,t3053,Bücher,Warrior Cats,33.0,2020-08-30,2021-12-26,39749.0,,"Drama,  Thriller",P12,16.0,94.0,,redacted
15,a10153,redacted,redacted,redacted,t9297,Bücher,Warrior Cats,9.0,2021-11-01,2021-12-26,14131.0,,Allgemein,P12,2.0,5.0,,redacted
16,a8343,redacted,redacted,redacted,t3918,Bücher,Warrior Cats,3.0,2021-10-18,2021-11-10,2052.0,,Abenteuer,P12,1.0,3.0,,redacted
17,a15395,redacted,redacted,redacted,t29589,Bücher,Warrior Cats,6.0,2021-09-18,2021-11-13,1721.0,,Allgemein,P12,2.0,5.0,,redacted
18,a8771,redacted,redacted,redacted,t14826,Bücher,Warrior Cats,11.0,2021-09-12,2021-11-17,12705.0,,Übernatürlich,P12,8.0,11.0,,redacted
19,a545,redacted,redacted,redacted,t30059,Bücher,Warrior Cats,12.0,2020-01-31,2021-11-19,8471.0,,Allgemein,P16,2.0,8.0,,redacted
20,a8052,redacted,redacted,redacted,t2770,Bücher,Warrior Cats,57.0,2020-08-25,2021-11-21,65594.0,,"Abenteuer,  Fantasy",P12,23.0,441.0,,redacted
21,a10111,redacted,redacted,redacted,t2803,Bücher,Warrior Cats,6.0,2021-06-01,2021-11-26,7338.0,,"Abenteuer,  Mystery",P12,7.0,19.0,,redacted
22,a1637,redacted,redacted,redacted,t30652,Bücher,Warrior Cats,12.0,2021-01-02,2021-11-27,18457.0,,"Thriller,  Schmerz/ Trost",P18,4.0,7.0,,redacted
23,a1309,redacted,redacted,redacted,t19841,Bücher,Warrior Cats,19.0,2021-05-31,2021-11-28,4777.0,,"Drama,  Suspense",P16,8.0,25.0,,redacted
24,a2498,redacted,redacted,redacted,t28921,Bücher,Warrior Cats,6.0,2020-11-24,2021-11-30,5127.0,,Allgemein,P12,3.0,6.0,,redacted
25,a1682,redacted,redacted,redacted,t25179,Bücher,Warrior Cats,28.0,2021-05-26,2021-12-08,45187.0,,"Abenteuer,  Familie",P12,6.0,10.0,,redacted
26,a5144,redacted,redacted,redacted,t7153,Bücher,Warrior Cats,9.0,2021-09-29,2021-12-13,1812.0,,Allgemein,P6,3.0,14.0,,redacted
27,a15431,redacted,redacted,redacted,t38330,Bücher,Warrior Cats,4.0,2021-10-20,2021-10-30,344.0,,"Abenteuer,  Fantasy",P12,1.0,9.0,,redacted
28,a7733,redacted,redacted,redacted,t38374,Bücher,Warrior Cats,37.0,2021-01-11,2021-10-31,54992.0,,"Abenteuer,  Mystery",P12,11.0,35.0,,redacted
29,a6212,redacted,redacted,redacted,t34383,Bücher,Warrior Cats,2.0,2021-10-10,2021-11-02,8381.0,,"Abenteuer,  Liebesgeschichte",P16,4.0,3.0,,redacted
30,a10111,redacted,redacted,redacted,t9370,Bücher,Warrior Cats,7.0,2021-05-16,2021-11-06,8677.0,,"Interview/ Quiz Humor,  Parodie",P6,6.0,7.0,,redacted
31,a3559,redacted,redacted,redacted,t34897,Bücher,Warrior Cats,5.0,2021-08-19,2021-11-11,1727.0,,"Abenteuer,  Fantasy",P12,4.0,11.0,,redacted
32,a12397,redacted,redacted,redacted,t3892,Bücher,Warrior Cats,29.0,2020-02-29,2021-09-10,69006.0,,Allgemein,P12,7.0,25.0,,redacted
33,a11433,redacted,redacted,redacted,t1041,Bücher,Warrior Cats,11.0,2021-02-10,2021-09-13,18332.0,,"Abenteuer,  Fantasy",P12,5.0,21.0,,redacted
34,a15395,redacted,redacted,redacted,t25583,Bücher,Warrior Cats,5.0,2021-08-25,2021-09-16,1073.0,,Allgemein,P12,1.0,1.0,,redacted
35,a9510,redacted,redacted,redacted,t27649,Bücher,Warrior Cats,4.0,2021-03-05,2021-09-24,16192.0,,"Angst,  Horror",P18,9.0,5.0,,redacted
